Z 	Sym 	Element 	Origin of name[1][2] 	Group 	Period 	Atomic weight 	Density 	Melt	Boil	C10	χ10 	Abundance (mg/kg)
1 	H 	Hydrogen 	composed of the Greek elements hydro- and -gen meaning 'water-forming' 	1 	1 	1.0082 3 4 9 	0.00008988 	14.01 	20.28 	14.304 	2.20 	1400
2 	He 	Helium 	the Greek helios, 'sun' 	18 	1 	4.002602(2)2 4 	0.0001785 	0.956 	4.22 	5.193 	– 	0.008
3 	Li 	Lithium 	the Greek lithos, 'stone' 	1 	2 	6.942 3 4 5 9 	0.534 	453.69 	1560 	3.582 	0.98 	20
4 	Be 	Beryllium 	beryl, a mineral 	2 	2 	9.0121831(5) 	1.85 	1560 	2742 	1.825 	1.57 	2.8
5 	B 	Boron 	borax, a mineral 	13 	2 	10.812 3 4 9 	2.34 	2349 	4200 	1.026 	2.04 	10
6 	C 	Carbon 	the Latin carbo, 'coal' 	14 	2 	12.0112 4 9 	2.267 	3800 	4300 	0.709 	2.55 	200
7 	N 	Nitrogen 	the Greek nitron and '-gen' meaning 'niter-forming' 	15 	2 	14.0072 4 9 	0.0012506 	63.15 	77.36 	1.04 	3.04 	19
8 	O 	Oxygen 	from the Greek oxy-, both 'sharp' and 'acid', and -gen, meaning 'acid-forming' 	16 	2 	15.9992 4 9 	0.001429 	54.36 	90.20 	0.918 	3.44 	461000
9 	F 	Fluorine 	the Latin fluere, 'to flow' 	17 	2 	18.998403163(6) 	0.001696 	53.53 	85.03 	0.824 	3.98 	585
10 	Ne 	Neon 	the Greek neos, meaning 'new' 	18 	2 	20.1797(6)2 3 	0.0008999 	24.56 	27.07 	1.03 	– 	0.005
11 	Na 	Sodium 	the English word soda (natrium in Latin)[3] 	1 	3 	22.98976928(2) 	0.971 	370.87 	1156 	1.228 	0.93 	23600
12 	Mg 	Magnesium 	Magnesia, a district of Eastern Thessaly in Greece 	2 	3 	24.3059 	1.738 	923 	1363 	1.023 	1.31 	23300
13 	Al 	Aluminium 	from alumina, a compound (originally aluminum) 	13 	3 	26.9815385(7) 	2.698 	933.47[4] 	2792 	0.897 	1.61 	82300
14 	Si 	Silicon 	from the Latin silex, 'flint' (originally silicium) 	14 	3 	28.0854 9 	2.3296 	1687 	3538 	0.705 	1.9 	282000
15 	P 	Phosphorus 	the Greek phoosphoros, 'carrying light' 	15 	3 	30.973761998(5) 	1.82 	317.30 	550 	0.769 	2.19 	1050
16 	S 	Sulfur 	the Latin sulphur, 'fire and brimstone'[5] 	16 	3 	32.062 4 9 	2.067 	388.36 	717.87 	0.71 	2.58 	350
17 	Cl 	Chlorine 	the Greek chloros, 'greenish yellow' 	17 	3 	35.452 3 4 9 	0.003214 	171.6 	239.11 	0.479 	3.16 	145
